priority_rank,tier,tier_label,origin,destination,city_pair,passengers,national_weight,cumulative_coverage,currently_covered,recommended,geographic_reason,source
15,1,TIER 1 - Essential,MUMBAI,BENGALURU,MUMBAI <-> BENGALURU,1164230.0,0.0069193660785410544,0.14094247622515785,True,True,core metro trunk route,DGCA_DERIVED_ROUTE_PRIORITY
16,1,TIER 1 - Essential,BENGALURU,MUMBAI,BENGALURU <-> MUMBAI,1146156.0,0.006811946906638981,0.14775442313179682,True,True,core metro trunk route,DGCA_DERIVED_ROUTE_PRIORITY
17,1,TIER 1 - Essential,BENGALURU,HYDERABAD,BENGALURU <-> HYDERABAD,1130293.0,0.006717668367085888,0.15447209149888272,True,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
18,1,TIER 1 - Essential,HYDERABAD,BENGALURU,HYDERABAD <-> BENGALURU,1121180.0,0.006663507090470662,0.1611355985893534,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
19,1,TIER 1 - Essential,CHENNAI,DELHI,CHENNAI <-> DELHI,1111036.0,0.006603218273397816,0.16773881686275122,True,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
20,1,TIER 1 - Essential,DELHI,CHENNAI,DELHI <-> CHENNAI,1110509.0,0.006600086155239555,0.17433890301799077,True,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
21,2,TIER 2 - High value,BENGALURU,KOLKATA,BENGALURU <-> KOLKATA,1094428.0,0.006504511976676026,0.1808434149946668,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
22,2,TIER 2 - High value,KOLKATA,BENGALURU,KOLKATA <-> BENGALURU,1077187.0,0.006402043572185395,0.1872454585668522,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
23,2,TIER 2 - High value,DELHI,SRINAGAR,DELHI <-> SRINAGAR,906002.0,0.00538464006759004,0.19263009863444225,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
24,2,TIER 2 - High value,BENGALURU,PUNE,BENGALURU <-> PUNE,896981.0,0.005331025574410411,0.19796112420885265,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
25,2,TIER 2 - High value,PUNE,BENGALURU,PUNE <-> BENGALURU,894110.0,0.0053139623652408395,0.2032750865740935,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
26,2,TIER 2 - High value,SRINAGAR,DELHI,SRINAGAR <-> DELHI,891845.0,0.0053005007947883554,0.20857558736888185,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
27,2,TIER 2 - High value,MUMBAI (MUMBAI),BENGALURU,MUMBAI (MUMBAI) <-> BENGALURU,815610.0,0.004847413455518986,0.21342300082440083,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
28,2,TIER 2 - High value,DELHI,GUWAHATI,DELHI <-> GUWAHATI,792215.0,0.004708369993825448,0.21813137081822628,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
29,2,TIER 2 - High value,DELHI,PATNA,DELHI <-> PATNA,786658.0,0.004675343085655711,0.222806713903882,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
30,2,TIER 2 - High value,BENGALURU,MUMBAI (MUMBAI),BENGALURU <-> MUMBAI (MUMBAI),780021.0,0.004635897415415916,0.2274426113192979,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
31,2,TIER 2 - High value,GUWAHATI,DELHI,GUWAHATI <-> DELHI,776421.0,0.0046145015418490535,0.23205711286114697,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
32,2,TIER 2 - High value,CHENNAI,BENGALURU,CHENNAI <-> BENGALURU,763560.0,0.004538064783531439,0.2365951776446784,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
33,2,TIER 2 - High value,BENGALURU,CHENNAI,BENGALURU <-> CHENNAI,744812.0,0.004426639828633792,0.2410218174733122,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
34,2,TIER 2 - High value,HYDERABAD,CHENNAI,HYDERABAD <-> CHENNAI,734083.0,0.00436287418210633,0.2453846916554185,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
35,2,TIER 2 - High value,CHENNAI,HYDERABAD,CHENNAI <-> HYDERABAD,724959.0,0.004308647529210761,0.24969333918462927,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
36,2,TIER 2 - High value,PATNA,DELHI,PATNA <-> DELHI,719829.0,0.004278158409377983,0.2539714975940073,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
37,2,TIER 2 - High value,BENGALURU,KOCHI,BENGALURU <-> KOCHI,688098.0,0.004089571613780733,0.258061069207788,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
38,2,TIER 2 - High value,DELHI,LUCKNOW,DELHI <-> LUCKNOW,687698.0,0.004087194294495526,0.2621482635022835,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
39,2,TIER 2 - High value,KOCHI,BENGALURU,KOCHI <-> BENGALURU,687116.0,0.00408373529493555,0.26623199879721904,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
40,2,TIER 2 - High value,LUCKNOW,DELHI,LUCKNOW <-> DELHI,662461.0,0.00393720327749361,0.2701692020747126,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
41,2,TIER 2 - High value,MUMBAI,KOLKATA,MUMBAI <-> KOLKATA,658483.0,0.003913560837202228,0.27408276291191486,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
42,2,TIER 2 - High value,MUMBAI,HYDERABAD,MUMBAI <-> HYDERABAD,656902.0,0.003904164482727447,0.2779869273946423,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
43,2,TIER 2 - High value,KOLKATA,MUMBAI,KOLKATA <-> MUMBAI,650559.0,0.0038664661421622787,0.2818533935368046,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
44,2,TIER 2 - High value,MUMBAI,CHENNAI,MUMBAI <-> CHENNAI,632966.0,0.0037619056967006666,0.28561529923350526,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
45,2,TIER 2 - High value,HYDERABAD,MUMBAI,HYDERABAD <-> MUMBAI,621280.0,0.003692452313783347,0.2893077515472886,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
46,2,TIER 2 - High value,DELHI,BAGDOGRA,DELHI <-> BAGDOGRA,618898.0,0.0036782953774399402,0.29298604692472857,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
47,2,TIER 2 - High value,CHENNAI,MUMBAI,CHENNAI <-> MUMBAI,615688.0,0.0036592173901761546,0.29664526431490473,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
48,2,TIER 2 - High value,DELHI,BHUBANESWAR,DELHI <-> BHUBANESWAR,608932.0,0.0036190644674490105,0.30026432878235376,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
49,2,TIER 2 - High value,BENGALURU,AHMEDABAD,BENGALURU <-> AHMEDABAD,590269.0,0.0035081446928994695,0.3037724734752532,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
50,2,TIER 2 - High value,BHUBANESWAR,DELHI,BHUBANESWAR <-> DELHI,589094.0,0.0035011613174991746,0.3072736347927524,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
51,3,TIER 3 - Expansion,AHMEDABAD,BENGALURU,AHMEDABAD <-> BENGALURU,588458.0,0.0034973813798356954,0.31077101617258807,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
52,3,TIER 3 - Expansion,BAGDOGRA,DELHI,BAGDOGRA <-> DELHI,587431.0,0.003491277612570927,0.314262293785159,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
53,3,TIER 3 - Expansion,CHENNAI,KOLKATA,CHENNAI <-> KOLKATA,581375.0,0.0034552849985928944,0.3177175787837519,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
54,3,TIER 3 - Expansion,INDORE,DELHI,INDORE <-> DELHI,567677.0,0.0033738736996709842,0.32109145248342286,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
55,3,TIER 3 - Expansion,DELHI,INDORE,DELHI <-> INDORE,565454.0,0.003360661747743447,0.3244521142311663,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
56,3,TIER 3 - Expansion,MUMBAI,AHMEDABAD,MUMBAI <-> AHMEDABAD,560031.0,0.0033284312415342546,0.3277805454727006,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
57,3,TIER 3 - Expansion,AHMEDABAD,MUMBAI,AHMEDABAD <-> MUMBAI,557652.0,0.0033142921350854866,0.3310948376077861,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
58,3,TIER 3 - Expansion,KOLKATA,CHENNAI,KOLKATA <-> CHENNAI,547289.0,0.003252701735703989,0.33434753934349004,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
59,3,TIER 3 - Expansion,DELHI,AMRITSAR,DELHI <-> AMRITSAR,537815.0,0.0031963949284338636,0.3375439342719239,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
60,3,TIER 3 - Expansion,AMRITSAR,DELHI,AMRITSAR <-> DELHI,535569.0,0.003183046280647427,0.34072698055257133,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
61,3,TIER 3 - Expansion,HYDERABAD,KOLKATA,HYDERABAD <-> KOLKATA,517414.0,0.003075145701590099,0.34380212625416146,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
62,3,TIER 3 - Expansion,GUWAHATI,KOLKATA,GUWAHATI <-> KOLKATA,506762.0,0.0030118376890250396,0.3468139639431865,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
63,3,TIER 3 - Expansion,KOLKATA,GUWAHATI,KOLKATA <-> GUWAHATI,506746.0,0.003011742596253631,0.3498257065394401,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
64,3,TIER 3 - Expansion,KOLKATA,HYDERABAD,KOLKATA <-> HYDERABAD,498538.0,0.0029629600045211857,0.3527886665439613,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
65,3,TIER 3 - Expansion,DELHI,VARANASI,DELHI <-> VARANASI,492662.0,0.0029280371842214967,0.3557167037281828,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
66,3,TIER 3 - Expansion,VARANASI,DELHI,VARANASI <-> DELHI,485150.0,0.0028833911280453112,0.3586000948562281,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
67,3,TIER 3 - Expansion,MUMBAI (MUMBAI),KOLKATA,MUMBAI (MUMBAI) <-> KOLKATA,484087.0,0.002877073402044874,0.361477168258273,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
68,3,TIER 3 - Expansion,DELHI,KOCHI,DELHI <-> KOCHI,477377.0,0.002837193871035528,0.3643143621293085,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
69,3,TIER 3 - Expansion,KOCHI,DELHI,KOCHI <-> DELHI,473573.0,0.0028145855646332105,0.3671289476939417,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
70,3,TIER 3 - Expansion,MUMBAI (MUMBAI),CHENNAI,MUMBAI (MUMBAI) <-> CHENNAI,473169.0,0.0028121844721551515,0.36994113216609686,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
71,3,TIER 3 - Expansion,DELHI,RANCHI,DELHI <-> RANCHI,452259.0,0.0026879101065209613,0.37262904227261784,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
72,3,TIER 3 - Expansion,CHENNAI,MUMBAI (MUMBAI),CHENNAI <-> MUMBAI (MUMBAI),446137.0,0.0026515252348608695,0.37528056750747874,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
73,3,TIER 3 - Expansion,KOLKATA,MUMBAI (MUMBAI),KOLKATA <-> MUMBAI (MUMBAI),445629.0,0.002648506039368657,0.3779290735468474,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
74,3,TIER 3 - Expansion,RANCHI,DELHI,RANCHI <-> DELHI,438956.0,0.002608846410393193,0.3805379199572406,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
75,3,TIER 3 - Expansion,MUMBAI (MUMBAI),HYDERABAD,MUMBAI (MUMBAI) <-> HYDERABAD,438467.0,0.0026059401375670274,0.38314386009480766,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
76,3,TIER 3 - Expansion,DELHI,CHANDIGARH,DELHI <-> CHANDIGARH,437871.0,0.002602397931832069,0.38574625802663975,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
77,3,TIER 3 - Expansion,CHANDIGARH,DELHI,CHANDIGARH <-> DELHI,437478.0,0.0026000622156343535,0.3883463202422741,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
78,3,TIER 3 - Expansion,BENGALURU,VARANASI,BENGALURU <-> VARANASI,434901.0,0.002584746336139408,0.39093106657841353,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
79,3,TIER 3 - Expansion,COIMBATORE,CHENNAI,COIMBATORE <-> CHENNAI,434742.0,0.0025838013517235385,0.39351486793013707,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
80,3,TIER 3 - Expansion,MUMBAI,DABOLIM,MUMBAI <-> DABOLIM,430321.0,0.002557526030323789,0.39607239396046084,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
81,3,TIER 3 - Expansion,CHENNAI,COIMBATORE,CHENNAI <-> COIMBATORE,430290.0,0.0025573417880791855,0.39862973574854005,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
82,3,TIER 3 - Expansion,AHMEDABAD,MUMBAI (MUMBAI),AHMEDABAD <-> MUMBAI (MUMBAI),429514.0,0.0025527297886658844,0.40118246553720593,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
83,3,TIER 3 - Expansion,VARANASI,BENGALURU,VARANASI <-> BENGALURU,424232.0,0.0025213372875047273,0.4037038028247107,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
84,3,TIER 3 - Expansion,KOLKATA,AGARTALA,KOLKATA <-> AGARTALA,422022.0,0.0025082025984539593,0.40621200542316466,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
85,3,TIER 3 - Expansion,BENGALURU,BHUBANESWAR,BENGALURU <-> BHUBANESWAR,421492.0,0.00250505265040106,0.40871705807356573,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
86,3,TIER 3 - Expansion,DABOLIM,MUMBAI,DABOLIM <-> MUMBAI,418578.0,0.0024877338794083276,0.41120479195297405,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
87,3,TIER 3 - Expansion,HYDERABAD,MUMBAI (MUMBAI),HYDERABAD <-> MUMBAI (MUMBAI),416661.0,0.0024763405767339736,0.413681132529708,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
88,3,TIER 3 - Expansion,BHUBANESWAR,BENGALURU,BHUBANESWAR <-> BENGALURU,415692.0,0.00247058152076556,0.4161517140504736,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
89,3,TIER 3 - Expansion,MUMBAI (MUMBAI),AHMEDABAD,MUMBAI (MUMBAI) <-> AHMEDABAD,412421.0,0.0024511409923107805,0.4186028550427844,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
90,3,TIER 3 - Expansion,RAIPUR,DELHI,RAIPUR <-> DELHI,411778.0,0.0024473194515598107,0.4210501744943442,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
91,3,TIER 3 - Expansion,LEH,DELHI,LEH <-> DELHI,409814.0,0.0024356468138694446,0.4234858213082136,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
92,3,TIER 3 - Expansion,AGARTALA,KOLKATA,AGARTALA <-> KOLKATA,409308.0,0.002432639504973658,0.42591846081318724,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
93,3,TIER 3 - Expansion,DELHI,RAIPUR,DELHI <-> RAIPUR,407726.0,0.0024232372072006646,0.4283416980203879,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
94,3,TIER 3 - Expansion,BENGALURU,LUCKNOW,BENGALURU <-> LUCKNOW,406329.0,0.00241493441959708,0.43075663243998497,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
95,3,TIER 3 - Expansion,PUNE,CHENNAI,PUNE <-> CHENNAI,405524.0,0.0024101500645356006,0.43316678250452056,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
96,3,TIER 3 - Expansion,LUCKNOW,BENGALURU,LUCKNOW <-> BENGALURU,405252.0,0.00240853348742166,0.4355753159919422,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
97,3,TIER 3 - Expansion,BENGALURU,GUWAHATI,BENGALURU <-> GUWAHATI,404484.0,0.002403969034394063,0.43797928502633626,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
98,3,TIER 3 - Expansion,CHENNAI,PUNE,CHENNAI <-> PUNE,400132.0,0.0023781038005710117,0.4403573888269073,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
99,3,TIER 3 - Expansion,DELHI,LEH,DELHI <-> LEH,399693.0,0.0023754946926554973,0.4427328835195628,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
100,3,TIER 3 - Expansion,KOCHI,HYDERABAD,KOCHI <-> HYDERABAD,392202.0,0.002330973445741785,0.4450638569653046,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
101,4,TIER 4 - Long tail,HYDERABAD,KOCHI,HYDERABAD <-> KOCHI,387323.0,0.002301976093760474,0.4473658330590651,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
102,4,TIER 4 - Long tail,PUNE,HYDERABAD,PUNE <-> HYDERABAD,377510.0,0.002243654508396136,0.4496094875674612,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
103,4,TIER 4 - Long tail,DELHI,NAGPUR,DELHI <-> NAGPUR,370430.0,0.002201575957047974,0.45181106352450917,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
104,4,TIER 4 - Long tail,BENGALURU,JAIPUR,BENGALURU <-> JAIPUR,368917.0,0.0021925837468516787,0.45400364727136083,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
105,4,TIER 4 - Long tail,HYDERABAD,PUNE,HYDERABAD <-> PUNE,368409.0,0.002189564551359466,0.4561932118227203,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
106,4,TIER 4 - Long tail,JAIPUR,BENGALURU,JAIPUR <-> BENGALURU,368403.0,0.002189528891570188,0.4583827407142905,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
107,4,TIER 4 - Long tail,NAGPUR,DELHI,NAGPUR <-> DELHI,366510.0,0.0021782782280529464,0.46056101894234347,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
108,4,TIER 4 - Long tail,GUWAHATI,BENGALURU,GUWAHATI <-> BENGALURU,358369.0,0.0021298938373007733,0.46269091277964425,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
109,4,TIER 4 - Long tail,HYDERABAD,TIRUPATI,HYDERABAD <-> TIRUPATI,356144.0,0.00211666999877681,0.46480758277842105,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
110,4,TIER 4 - Long tail,KOCHI,CHENNAI,KOCHI <-> CHENNAI,354241.0,0.002105359902277438,0.4669129426806985,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
111,4,TIER 4 - Long tail,DELHI,UDAIPUR,DELHI <-> UDAIPUR,353349.0,0.0021000584802714265,0.46901300116096994,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
112,4,TIER 4 - Long tail,CHENNAI,KOCHI,CHENNAI <-> KOCHI,349678.0,0.0020782406325314403,0.47109124179350137,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
113,4,TIER 4 - Long tail,UDAIPUR,DELHI,UDAIPUR <-> DELHI,349609.0,0.002077830544954742,0.4731690723384561,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
114,4,TIER 4 - Long tail,TIRUPATI,HYDERABAD,TIRUPATI <-> HYDERABAD,347898.0,0.0020676615617122697,0.4752367339001684,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
115,4,TIER 4 - Long tail,BENGALURU,PATNA,BENGALURU <-> PATNA,345863.0,0.0020555669498487795,0.47729230085001717,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
116,4,TIER 4 - Long tail,MUMBAI,KOCHI,MUMBAI <-> KOCHI,344711.0,0.0020487202703073836,0.47934102112032456,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
117,4,TIER 4 - Long tail,DELHI,GOA,DELHI <-> GOA,344627.0,0.0020482210332574903,0.48138924215358203,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
118,4,TIER 4 - Long tail,KOCHI,MUMBAI,KOCHI <-> MUMBAI,343569.0,0.002041933023748118,0.48343117517733014,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
119,4,TIER 4 - Long tail,DELHI,JAMMU,DELHI <-> JAMMU,342737.0,0.0020369881996348876,0.485468163376965,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
120,4,TIER 4 - Long tail,GOA,DELHI,GOA <-> DELHI,341576.0,0.002030088030409575,0.48749825140737457,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
121,4,TIER 4 - Long tail,DELHI,DEHRADUN,DELHI <-> DEHRADUN,332459.0,0.0019759029806014966,0.4894741543879761,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
122,4,TIER 4 - Long tail,JAIPUR,DELHI,JAIPUR <-> DELHI,325213.0,0.0019328378417499737,0.49140699222972606,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
123,4,TIER 4 - Long tail,MUMBAI,JAIPUR,MUMBAI <-> JAIPUR,321250.0,0.0019092845509317863,0.49331627678065787,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
124,4,TIER 4 - Long tail,DELHI,JAIPUR,DELHI <-> JAIPUR,321069.0,0.0019082088139552303,0.4952244855946131,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
125,4,TIER 4 - Long tail,PATNA,BENGALURU,PATNA <-> BENGALURU,320457.0,0.0019045715154488638,0.49712905711006194,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
126,4,TIER 4 - Long tail,JAIPUR,MUMBAI,JAIPUR <-> MUMBAI,316604.0,0.0018816719874341083,0.49901072909749605,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
127,4,TIER 4 - Long tail,DEHRADUN,DELHI,DEHRADUN <-> DELHI,314472.0,0.0018690008756439556,0.50087972997314,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
128,4,TIER 4 - Long tail,JAMMU,DELHI,JAMMU <-> DELHI,306955.0,0.001824325102976705,0.5027040550761167,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
129,4,TIER 4 - Long tail,BAGDOGRA,BENGALURU,BAGDOGRA <-> BENGALURU,306879.0,0.0018238734123125157,0.5045279284884292,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
130,4,TIER 4 - Long tail,DELHI,DABOLIM,DELHI <-> DABOLIM,303203.0,0.0018020258480814645,0.5063299543365106,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
131,4,TIER 4 - Long tail,"GOA (DABOLIM, SOUTH GOA)",MUMBAI (MUMBAI),"GOA (DABOLIM, SOUTH GOA) <-> MUMBAI (MUMBAI)",301523.0,0.0017920411070835955,0.5081219954435943,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
132,4,TIER 4 - Long tail,PUNE,AHMEDABAD,PUNE <-> AHMEDABAD,301350.0,0.0017910129164927435,0.509913008360087,False,False,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
